date,geography,geography code,Value,Age,Occupation,Highest Level of Qualification
2011,London,E12000007,1396,Age 16 to 24,"1. Managers, directors and senior officials",Apprenticeships and other qualifications
2011,South East,E12000008,880,Age 16 to 24,"1. Managers, directors and senior officials",Apprenticeships and other qualifications
2011,South West,E12000009,546,Age 16 to 24,"1. Managers, directors and senior officials",Apprenticeships and other qualifications
2011,Wales,W92000004,199,Age 16 to 24,"1. Managers, directors and senior officials",Apprenticeships and other qualifications
2011,North East,E12000001,78,Age 16 to 24,2. Professional occupations,No qualifications
2011,North West,E12000002,262,Age 16 to 24,2. Professional occupations,No qualifications
2011,Yorkshire and The Humber,E12000003,173,Age 16 to 24,2. Professional occupations,No qualifications
2011,East Midlands,E12000004,123,Age 16 to 24,2. Professional occupations,No qualifications
2011,West Midlands,E12000005,201,Age 16 to 24,2. Professional occupations,No qualifications
2011,East,E12000006,183,Age 16 to 24,2. Professional occupations,No qualifications
2011,London,E12000007,425,Age 16 to 24,2. Professional occupations,No qualifications
2011,South East,E12000008,253,Age 16 to 24,2. Professional occupations,No qualifications
2011,South West,E12000009,109,Age 16 to 24,2. Professional occupations,No qualifications
2011,Wales,W92000004,116,Age 16 to 24,2. Professional occupations,No qualifications
2011,North East,E12000001,235,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,North West,E12000002,859,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,Yorkshire and The Humber,E12000003,579,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,East Midlands,E12000004,519,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,West Midlands,E12000005,662,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,East,E12000006,740,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,London,E12000007,1215,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,South East,E12000008,1048,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,South West,E12000009,483,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,Wales,W92000004,335,Age 16 to 24,2. Professional occupations,Level 1 qualifications
2011,North East,E12000001,577,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,North West,E12000002,1995,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,Yorkshire and The Humber,E12000003,1242,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,East Midlands,E12000004,1181,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,West Midlands,E12000005,1336,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,East,E12000006,1699,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,London,E12000007,2334,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,South East,E12000008,2398,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,South West,E12000009,1225,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,Wales,W92000004,590,Age 16 to 24,2. Professional occupations,Level 2 qualifications
2011,North East,E12000001,1427,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,North West,E12000002,3771,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,Yorkshire and The Humber,E12000003,2876,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,East Midlands,E12000004,2300,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,West Midlands,E12000005,2991,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,East,E12000006,3264,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,London,E12000007,4870,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,South East,E12000008,5258,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,South West,E12000009,2988,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,Wales,W92000004,1237,Age 16 to 24,2. Professional occupations,Level 3 qualifications
2011,North East,E12000001,7522,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,North West,E12000002,20288,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,Yorkshire and The Humber,E12000003,15052,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,East Midlands,E12000004,11702,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,West Midlands,E12000005,15884,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
2011,East,E12000006,16229,Age 16 to 24,2. Professional occupations,Level 4 qualifications and above
